name	latlng	alt
Adarakanda	[6.761, 80.812]	1500
Agarakanda	[6.439633638634471, 80.23064113238968]	384.0
Aharagala	[6.318068276436303, 80.48293089092422]	829
Alagalla [North Peak]	[7.303, 80.464]	960
Alagalla [South Peak]	[7.298084929225645, 80.46960865945046]	1017
Alawala Mahakanda	[7.118234804329726, 80.19983347210658]	304.0
Alupathgala	[6.664446294754372, 80.32139883430474]	557
Alupathgala [South Peak]	[6.657785179017486, 80.3255620316403]	555.0
Ambalangala	[7.614487926727727, 80.4113238967527]	621.0
Ankumbura Mountain	[7.446294754371357, 80.54787676935887]	859
Arangala	[7.695, 80.639]	792
Ayagama	[6.6161532056619485, 80.35054121565362]	844
Ayagama [North Peak]	[6.702747710241465, 80.25728559533722]	450
Baena Samnala	[6.798501248959201, 80.4879267277269]	1974
Balathuduwa Peak	[6.762, 80.812]	1960
Balum Gala	[7.089092422980849, 80.20732722731057]	392.0
Balum Gala [South Peak]	[7.080766028309742, 80.2089925062448]	317.0
Bambaragala	[7.1740216486261446, 80.1698584512906]	274
Bana Samanala	[6.802, 80.496]	1800
Battaturugala	[6.717489286635401, 80.56612711460592]	1000
Bellanbendi Hela	[6.8384679433805164, 80.503746877602]	1934
Belum Gala	[7.368026644462947, 80.28059950041632]	378.0
Beragala	[6.438800999167361, 80.57202331390508]	1340
Bible Rock [North]	[7.191507077435471, 80.43380516236469]	774.0
Bible Rock [West]	[7.191507077435471, 80.40799333888427]	875
Bintenna	[6.705, 80.941]	723
Bisogala	[7.491, 80.497]	823
Bolagala	[7.3247293921731895, 80.54454621149043]	781.0
Bopaththalawa	[6.844, 80.705]	1900
Botiyagala	[6.802516219091856, 80.40949258840915]	960
Brandy Rock	[7.49, 80.588]	1130
Camelia Mountain	[6.909242298084929, 80.51373855120733]	1281
Conical Hill	[6.912868262549211, 80.77609221622183]	2166
Dambulla	[7.874, 80.651]	190
Dangampola	[6.935054121565362, 80.28476269775187]	327.0
Deegalhinna	[6.613655287260617, 80.51623646960866]	948
Dehiowita	[6.975853455453788, 80.25478767693589]	393.0
Dhanigala	[7.677, 81.209]	280
Dimbulagala	[7.86, 81.144]	534
Dippitigala	[6.639467110741049, 80.4729392173189]	841
Dodammaluwa Hill	[6.4371357202331385, 80.43713572023314]	734
Dolosbage	[7.091590341382181, 80.45961698584513]	1208
Dolukanda	[7.612, 80.412]	600
Dombawela	[7.538717735220649, 80.60616153205662]	907.0
Doruthugala Kanda	[6.776403737206227, 80.54155905308855]	1960
Dripping Rock	[7.050791007493755, 80.37635303913406]	1063
Eli Hatha Mountain	[6.875936719400499, 80.47710241465445]	1380
Ella Rock	[6.855, 81.052]	1041
Ethagala	[7.484, 80.372]	300
Ethgaala	[7.2522897585345545, 80.05495420482931]	157.0
Ethgaala [South Peak]	[7.246461282264779, 80.05745212323065]	130.0
Ethipola	[7.489712757855762, 80.58123353021865]	1240
Friars Hood	[7.444, 81.508]	430
Frotoft	[7.076219992383124, 80.73363829819229]	2120
Gabbala [Peak 2]	[7.390707393899238, 80.40777575351903]	680
Gabbala [South Peak]	[7.38134887593672, 80.40549542048294]	623.0
Galapitagala	[7.01165695253955, 80.25228975853456]	398.0
Galthalawa [Sinharaja]	[6.413821815154038, 80.43713572023314]	813
Gangula Kanda [North?]	[6.789342214820983, 80.49208992506244]	1838
Gombaniya	[7.455, 80.751]	1860
Gonagaldeniya	[7.40549542048293, 80.40716069941715]	660
Gongala	[6.385798705957111, 80.65376465349638]	1358
Gongala [West Peak]	[6.3886741823649995, 80.62413486152323]	1220
Gonmollikanda	[6.767, 80.809]	2034
Gorokgala	[6.488759367194005, 80.3638634471274]	564
Govindahela	[7.035, 81.546]	558
Great Thiruwana Rock	[6.930058284762698, 80.45961698584513]	999
Great Western Mountain	[6.967428622088323, 80.69372088629342]	2216
Hadagala	[6.782, 80.298]	200
Haddon Hill	[6.967444852760188, 80.75379646545613]	2120
Hakbelikanda	[7.319733555370524, 80.24229808492923]	325.0
Hakgala	[6.918078769555889, 80.81206995603138]	2170
Handurukanda	[7.431049275452596, 80.41473243996235]	780
Hantane	[7.254, 80.628]	1100
Hawagala	[6.722, 80.744]	1400
Hettikanda	[6.6661115736885925, 80.54621149042464]	912
Hettikanda [Peak 2]	[6.492922564529559, 80.33888426311407]	560
Hilldale	[7.028309741881765, 80.73771856786011]	2162
Himagira [Peak 1]	[6.398001665278934, 80.56452955870108]	1176
Himagira [Peak 2]	[6.601165695253955, 80.36136552872607]	921
Hindurangala	[6.76436303080766, 80.26894254787678]	384.0
Hinidumakanda	[6.332, 80.299]	661
Hunnasgiriya	[7.388009991673606, 80.69941715237302]	1485
Hunuwal Kanda	[6.6536219816819315, 80.62447960033306]	1515
Idalgashinna Mt	[6.78, 80.889]	1890
Ihalagama	[7.574521232306411, 80.43547044129892]	547.0
Imbulwitiya	[6.855592908437922, 80.36525349861266]	560
Ingurugala	[7.149875104079934, 80.43130724396336]	1110
Ingurugala [2]	[7.046627810158201, 80.4029975020816]	1324
Ingurugala [South Peak]	[7.1082431307243965, 80.44546211490425]	1198.0
Kabaragala	[6.76, 80.242]	460
Kabbale Mt	[6.246, 80.351]	440
Kalatuwawa	[6.849292256452956, 80.23147377185678]	315.0
Kalatuwawa [2]	[6.840133222314738, 80.21232306411324]	310.0
Kaluaggala	[7.250624479600333, 80.09408825978352]	242.0
Kaluandura	[6.905911740216486, 80.21232306411324]	352.0
Kalubovitiyangala	[6.334721065778518, 80.40466278101582]	719.0
Kalugala [South Peak]	[6.451290591174022, 80.2489592006661]	432.0
Kalugala [West Peak]	[6.4496253122398, 80.23646960865945]	396.0
Kalugaldeniya Hill	[6.432139883430475, 80.35303913405495]	635
Kandurukanda	[8.296, 80.902]	292
Karandana	[6.81464346801082, 80.22064993610773]	520
Karandana [Peak 2]	[6.754371357202332, 80.22980849292256]	376
Karandana [Peak 3]	[6.810158201498751, 80.22148209825146]	537
Kataragama Peak	[6.387, 81.336]	424
Katepola	[6.703580349708576, 80.23480432972522]	334.0
Katu Kitul Gala	[6.864426580407529, 80.51490304417887]	1440
Katu Kitul Gala [Peak 2]	[6.868442964196503, 80.50291423813489]	1530
Kaudagala	[7.552039966694421, 80.71024146544546]	1373
Kehelpathdoruwegala	[7.412, 80.889]	1529
Kellebokke	[7.431, 80.713]	1380
Kikilimana	[6.985188527035204, 80.7464223465802]	2240
Kiribathgala	[7.048293089092423, 80.7435470441299]	2042
Kirigalpotta	[6.799, 80.767]	2395
Kirigalpotta [Knuckles - North Peak]	[7.48376353039134, 80.72855953372189]	1610
Kirigalpotta [Knuckles]	[7.477102414654455, 80.72939217318901]	1627.0
Kithalagamuwa	[7.1582014987510405, 80.21981681931723]	337.0
Knuckles	[7.4, 80.81]	1863
Kodigala	[7.103247293921732, 80.45378850957536]	1244
Kodikanda	[6.894254787676935, 80.18234804329725]	393.0
Koduru Gala	[6.749375520399667, 80.5503746877602]	1299
Kohobagala	[7.228975853455454, 80.17318900915903]	279
Kohombakanda	[6.686094920899251, 80.30807660283098]	485
Kokagala	[7.417, 81.208]	687
Kondagala	[7.127, 80.701]	1620
Kotagala	[6.895920066611158, 80.61865112406328]	1729
Kotagala [North Peak]	[6.900083263946711, 80.62947543713572]	1664
Kudahagala	[6.813, 80.783]	2320
Kukulugala	[6.664568929023613, 80.26387517648982]	704
Kulunukanda	[7.410491257285596, 80.08409658617819]	123.0
Kunudiya Pawwa	[6.812893710619779, 80.45053855188652]	1540
Kurugama Hill	[7.3089092422980855, 80.5420482930891]	777
Kurullangala	[6.805, 81.055]	1100
Kuttikanda	[6.692756036636137, 80.23397169025812]	379.0
Kuttikanda [West Peak]	[6.681099084096586, 80.22980849292256]	324.0
Kuttimalai	[6.886761032472939, 80.64529558701082]	1875
Labukelle	[7.022007941183068, 80.70102763448922]	1720
Lakegala	[7.465, 80.84]	1314
Leopard Plains	[7.064945878434638, 80.7435470441299]	2011
Liptons Seat	[6.782, 81.016]	1900
Little Adam's Peak	[6.865, 81.064]	1100
Loolkandura	[7.127277351459165, 80.70045131782804]	1660
Maduru Ganga Hill [Peak 1]	[6.43796835970025, 80.37801831806827]	723
Maduru Ganga Hill [Peak 2]	[6.4496253122398, 80.36969192339717]	688
Mahakudagala	[7.043, 80.844]	2100
Mahamuni Kanda	[6.763361353551508, 80.58748110611003]	2040
Makandawa Hill	[6.968359700249792, 80.3721898417985]	936
Maligakanda	[6.92733524616965, 79.87127596301292]	60
Manguru Ganga Hill	[6.477102414654455, 80.34970857618652]	613
Manigala	[7.524, 80.775]	1080
Manikdena	[7.749, 80.642]	865
Marambe Kanda	[6.885928393005829, 80.20732722731057]	338.0
Marambe Kanda [Peak 2]	[6.875104079933389, 80.19067443796835]	353.0
Marambe Kanda [Peak 3]	[6.870940882597835, 80.18817651956702]	347.0
Medagama Kanda	[7.574521232306411, 80.12739383846794]	301.0
Mihintale	[8.348, 80.513]	260
Moragala	[6.86427976686095, 80.18651124063281]	348.0
Mudunehena Mountain	[7.124063280599501, 80.22148209825146]	325.0
Muruthenge	[7.43796835970025, 80.1323896752706]	185.0
Muthukeliya Mountain	[7.210657785179018, 80.22148209825146]	327
Namunukula	[6.933, 81.114]	2036
Namunuthenna Hill	[6.689425478767694, 80.26228143213989]	471
Nangirikanda	[6.631973355537053, 80.33472106577852]	854
Narangala	[7.036, 81.01]	1527
Nawana Maha Kanda	[7.277268942547877, 80.08326394671107]	170.0
Nawana Maha Kanda [South Peak]	[7.274771024146545, 80.08992506244796]	165.0
Nelibewa Kanda	[7.5661948376353045, 80.13738551207327]	262.0
Nilwalagala	[7.1548709408825975, 80.18651124063281]	291
Ohiya	[6.792623443737465, 80.8231294262838]	2140
Padurutalagala	[6.83682361786332, 80.45304627804985]	1500
Palampitiya	[7.089925062447961, 80.44296419650291]	1181
Palamure	[7.164862614487927, 80.2098251457119]	301.0
Palawela	[6.644462947543714, 80.33055786844297]	735
Pambegama	[6.894254787676935, 80.31057452123231]	406.0
Pangala	[7.475437135720233, 80.49125728559534]	790
Paragahathenna	[7.6062449242169965, 80.57803360413817]	1160
Parvitota	[6.749375520399667, 80.19900083263947]	302
Pathana Temple	[6.963, 80.063]	140
Pattaramale	[7.0957535387177355, 80.71940049958368]	2073
Peacock Hills	[7.085, 80.632]	1518
Peellakanda	[7.378850957535388, 80.10907577019151]	171.0
Pidurutalagala	[7.0016652789342215, 80.77268942547877]	2524
Pitakanda	[7.442, 80.708]	1506
Pitawala Pathana	[7.54954413542878, 80.72933123451453]	1440
Pothgul Kanda	[7.119067443796836, 80.39883430474605]	865
Rabbidigala	[7.15736885928393, 80.22897585345545]	343.0
Rajamale Kanda	[6.807738131596629, 80.52116920717405]	1800
Ramboda Hills	[7.016115746264159, 80.75335204343965]	2300
Ranagala	[7.363030807660284, 80.26477935054122]	364.0
Randlands	[6.8494463530257725, 80.38660877565422]	700
Rath Kanda	[6.7749707646683275, 80.51635814296066]	1820
Rilagala	[6.546, 80.336]	540
Rilagala [Peak 2]	[7.418817651956703, 80.79350541215653]	1593
Ritigala	[8.109, 80.656]	572
Riverston [Peak 2]	[7.51623646960866, 80.74021648626145]	1342
Riverston Peak	[7.53, 80.733]	1440
Rockwood [Peak 2]	[7.0937261107974, 80.77154305508121]	1680
Rumasalla	[6.017, 80.242]	60
Salgala	[7.124063280599501, 80.25228975853456]	334.0
Samanalathenna	[6.689425478767694, 80.6119900083264]	1102.0
Samanalawatta Mountain	[6.670274771024147, 80.62697751873439]	1061
Samangala	[6.388842631140716, 80.61032472939218]	1203
Sandagala	[7.934, 80.381]	540
Sandaraja Hill	[7.119067443796836, 80.41298917568693]	943
Selva Kanda	[7.4246461282264775, 80.78434637801831]	1624
Seven Virgins	[6.882769565099061, 80.49817758922892]	1540
Sigiriya	[7.957, 80.76]	350
Single Tree Hill	[6.957834140369287, 80.76246536518514]	2100
Sinharaja [Peak 1]	[6.3996669442131555, 80.50957535387177]	1082
Sinharaja [Peak 2]	[6.419650291423814, 80.38884263114072]	795
Sinharaja [Peak 3]	[6.401332223147377, 80.49375520399667]	902
Sinharaja [Peak 4]	[6.400499583680267, 80.488759367194]	845
Sri Paada	[6.80947332904436, 80.49936300963977]	2243
Sri Paada [Approach]	[6.819317235636969, 80.49042464612823]	1825
Suriyakanda	[6.435470441298918, 80.60116569525395]	1335
Thangappuwa	[7.3621981681931725, 80.80766028309742]	1641
Thoranagoda	[6.863903689609361, 80.24112487235946]	260
Thoranakotha	[6.3996669442131555, 80.53205661948377]	1165
Thunhisgala	[7.44, 80.81]	1627
Top Pass Hill	[7.007542137088609, 80.75883993868835]	2385
Totapolakanda	[6.833, 80.82]	2357
Udakanda	[6.715271365633772, 80.6029218734457]	1220
Ukkirigala	[7.042464612822648, 80.20399666944213]	306.0
Uluvahugala	[6.402164862614488, 80.36136552872607]	604.0
Unulugala	[7.025811823480433, 80.46378018318069]	1330
Ura Kanda	[7.193, 80.406]	860
Uthuwankanda	[7.262, 80.419]	431
Wahakula	[7.065778517901748, 80.2173189009159]	390.0
Walimbehela	[7.443, 81.507]	658
Wangedikanda	[6.761597942026243, 80.81242737940782]	1960
Waterfall Point	[6.928393005828476, 80.76353039134055]	2081
Waulagala	[7.08, 80.373]	900
Weddagala	[6.4779350541215655, 80.44462947543714]	875
Weragolla	[6.92089925062448, 80.21232306411324]	306.0
Wewila	[6.8326394671107415, 80.2014987510408]	313.0
Wewila [2]	[6.8134887593671944, 80.18234804329725]	371.0
Wewila [3]	[6.807660283097419, 80.17651956702748]	342.0
Wiltshire	[7.491, 80.605]	1200
Yahangala	[7.411, 80.889]	1460
Yaka Andu Kanda	[6.8292861832426155, 80.49480128150077]	1940
Yakahatuwa Gala	[6.9450457951706905, 80.24562864279767]	408.0
Yakdessagala	[7.584, 80.322]	430
Yakkuragala	[7.83, 80.681]	600
Yakunge Hela	[7.44879267277269, 80.7601998334721]	1860
Yatiyantota	[7.116569525395503, 80.44379683597002]	1255
Yogamuwa Kanda	[7.341382181515404, 80.27976686094921]	407.0
